Representative,Party,District,Score,Year,Lifetime Score
"Jones, Doug",D,AL,0.86,2019,0.82
"Shelby, Richard C.",R,AL,0.29,2019,0.13
"Byrne, Bradley",R,AL-01,0.03,2019,0.0
"Roby, Martha",R,AL-02,0.03,2019,0.04
"Rogers, Mike D.",R,AL-03,0.03,2019,0.05
"Aderholt, Robert B.",R,AL-04,0.03,2019,0.03
"Brooks, Mo",R,AL-05,0.03,2019,0.08
"Palmer, Gary",R,AL-06,0.0,2019,0.01
"Sewell, Terri",D,AL-07,0.97,2019,0.8
"Sullivan, Dan",R,AK,0.14,2019,0.08
"Murkowski, Lisa A.",R,AK,0.36,2019,0.18
"Young, Don",R,AK-AL,0.1,2019,0.08
"Radewagen, Amata Coleman",R,AS-AL,0.15,2019,0.15
"McSally, Martha",R,AZ,0.14,2019,0.07
"Sinema, Kyrsten",D,AZ,0.71,2019,0.77
"O'Halleran, Tom",D,AZ-01,0.97,2019,0.9
"Kirkpatrick, Ann",D,AZ-02,0.95,2019,0.71
"Grijalva, Raul",D,AZ-03,0.97,2019,0.96
"Gosar, Paul",R,AZ-04,0.03,2019,0.05
"Biggs, Andy",R,AZ-05,0.0,2019,0.06
"Schweikert, David",R,AZ-06,0.14,2019,0.05
"Gallego, Ruben",D,AZ-07,0.97,2019,0.97
"Lesko, Debbie",R,AZ-08,0.03,2019,0.02
"Stanton, Greg",D,AZ-09,0.97,2019,0.97
"Cotton, Tom",R,AR,0.14,2019,0.03
"Boozman, John N.",R,AR,0.21,2019,0.07
"Crawford, Rick",R,AR-01,0.07,2019,0.05
"Hill, French",R,AR-02,0.1,2019,0.05
"Womack, Steve",R,AR-03,0.07,2019,0.04
"Westerman, Bruce",R,AR-04,0.03,2019,0.01
"Harris, Kamala",D,CA,0.71,2019,0.91
"Feinstein, Dianne",D,CA,1.0,2019,0.9
"LaMalfa, Doug",R,CA-01,0.07,2019,0.02
"Huffman, Jared",D,CA-02,1.0,2019,0.98
"Garamendi, John",D,CA-03,0.97,2019,0.9
"McClintock, Tom",R,CA-04,0.03,2019,0.04
"Thompson, Mike",D,CA-05,0.9,2019,0.93
"Matsui, Doris O.",D,CA-06,0.97,2019,0.96
"Bera, Ami",D,CA-07,0.97,2019,0.93
"Cook, Paul",R,CA-08,0.14,2019,0.04
"McNerney, Jerry",D,CA-09,0.97,2019,0.94
"Harder, Josh",D,CA-10,0.97,2019,0.97
"DeSaulnier, Mark",D,CA-11,1.0,2019,0.99
"Pelosi, Nancy",D,CA-12,0.8,2019,0.94
"Lee, Barbara J.",D,CA-13,1.0,2019,0.97
"Speier, Jackie",D,CA-14,0.93,2019,0.91
"Swalwell, Eric",D,CA-15,0.62,2019,0.91
"Costa, Jim",D,CA-16,0.79,2019,0.51
"Khanna, Ro",D,CA-17,0.97,2019,0.98
"Eshoo, Anna G.",D,CA-18,0.93,2019,0.97
"Lofgren, Zoe",D,CA-19,0.93,2019,0.92
"Panetta, Jimmy",D,CA-20,0.97,2019,0.96
"Cox, TJ",D,CA-21,0.97,2019,0.97
"Nunes, Devin G.",R,CA-22,0.0,2019,0.03
"McCarthy, Kevin",R,CA-23,0.03,2019,0.03
"Carbajal, Salud",D,CA-24,0.97,2019,0.93
"Hill, Katie",D,CA-25,0.92,2019,0.92
"Brownley, Julia",D,CA-26,0.97,2019,0.96
"Chu, Judy M.",D,CA-27,0.97,2019,0.97
"Schiff, Adam B.",D,CA-28,0.97,2019,0.98
"Cárdenas, Tony",D,CA-29,1.0,2019,0.86
"Sherman, Brad J.",D,CA-30,0.93,2019,0.97
"Aguilar, Pete",D,CA-31,0.93,2019,0.96
"Napolitano, Grace",D,CA-32,0.97,2019,0.9
"Lieu, Ted",D,CA-33,0.93,2019,0.91
"Gomez, Jimmy",D,CA-34,0.97,2019,0.97
"Torres, Norma",D,CA-35,0.97,2019,0.96
"Ruiz, Raul",D,CA-36,0.97,2019,0.94
"Bass, Karen",D,CA-37,0.93,2019,0.88
"Sanchez, Linda",D,CA-38,0.97,2019,0.94
"Cisneros, Gilbert",D,CA-39,0.97,2019,0.97
"Roybal-Allard, Lucille",D,CA-40,0.97,2019,0.95
"Takano, Mark",D,CA-41,0.97,2019,0.98
"Calvert, Ken S.",R,CA-42,0.14,2019,0.07
"Waters, Maxine",D,CA-43,0.97,2019,0.91
"Barragán, Nanette",D,CA-44,1.0,2019,0.97
"Porter, Katie",D,CA-45,0.9,2019,0.9
"Correa, J.",D,CA-46,0.93,2019,0.92
"Lowenthal, Alan S.",D,CA-47,1.0,2019,0.98
"Rouda, Harley",D,CA-48,0.86,2019,0.86
"Levin, Mike",D,CA-49,0.97,2019,0.97
"Hunter, Duncan D.",R,CA-50,0.07,2019,0.02
"Vargas, Juan",D,CA-51,0.96,2019,0.96
"Peters, Scott H.",D,CA-52,0.97,2019,0.93
"Davis, Susan A.",D,CA-53,0.93,2019,0.97
"Gardner, Cory",R,CO,0.36,2019,0.11
"Bennet, Michael",D,CO,0.86,2019,0.89
"DeGette, Diana L.",D,CO-01,0.97,2019,0.96
"Neguse, Joe",D,CO-02,0.97,2019,0.97
"Tipton, Scott",R,CO-03,0.07,2019,0.07
"Buck, Ken",R,CO-04,0.0,2019,0.03
"Lamborn, Doug",R,CO-05,0.07,2019,0.03
"Crow, Jason",D,CO-06,0.97,2019,0.97
"Perlmutter, Ed",D,CO-07,0.97,2019,0.87
"Murphy, Chris S.",D,CT,1.0,2019,0.97
"Blumenthal, Richard",D,CT,1.0,2019,0.98
"Larson, John B.",D,CT-01,0.96,2019,0.93
"Courtney, Joe",D,CT-02,0.93,2019,0.96
"DeLauro, Rosa L.",D,CT-03,0.97,2019,0.95
"Himes, Jim",D,CT-04,0.97,2019,0.95
"Hayes, Jahana",D,CT-05,0.97,2019,0.97
"Carper, Tom",D,DE,1.0,2019,0.84
"Coons, Chris",D,DE,1.0,2019,0.94
"Blunt Rochester, Lisa",D,DE-AL,0.97,2019,0.96
"Norton, Eleanor Holmes",D,DC-AL,1.0,2019,1.0
"Rubio, Marco",R,FL,0.07,2019,0.05
"Scott, Rick",R,FL,0.07,2019,0.07
"Gaetz, Matt",R,FL-01,0.24,2019,0.12
"Dunn, Neal",R,FL-02,0.1,2019,0.04
"Yoho, Ted S.",R,FL-03,0.07,2019,0.03
"Rutherford, John",R,FL-04,0.17,2019,0.08
"Lawson, Al",D,FL-05,0.97,2019,0.84
"Waltz, Michael",R,FL-06,0.34,2019,0.34
"Murphy, Stephanie",D,FL-07,0.97,2019,0.9
"Posey, Bill",R,FL-08,0.14,2019,0.05
"Soto, Darren",D,FL-09,0.97,2019,0.99
"Demings, Val",D,FL-10,0.97,2019,0.96
"Webster, Daniel",R,FL-11,0.14,2019,0.06
"Bilirakis, Gus",R,FL-12,0.21,2019,0.09
"Crist, Charlie",D,FL-13,0.97,2019,0.91
"Castor, Kathy",D,FL-14,0.97,2019,0.93
"Spano, Ross",R,FL-15,0.1,2019,0.1
"Buchanan, Vern",R,FL-16,0.31,2019,0.22
"Steube, Greg",R,FL-17,0.07,2019,0.07
"Mast, Brian",R,FL-18,0.38,2019,0.29
"Rooney, Francis",R,FL-19,0.59,2019,0.24
"Hastings, Alcee L.",D,FL-20,0.93,2019,0.84
"Frankel, Lois",D,FL-21,0.96,2019,0.98
"Deutch, Ted",D,FL-22,0.97,2019,0.91
"Wasserman Schultz, Debbie",D,FL-23,0.93,2019,0.93
"Wilson, Frederica",D,FL-24,0.93,2019,0.91
"Diaz-Balart, Mario",R,FL-25,0.28,2019,0.13
"Mucarsel-Powell, Debbie",D,FL-26,0.97,2019,0.97
"Shalala, Donna",D,FL-27,0.97,2019,0.97
"Perdue, David",R,GA,0.14,2019,0.03
"Isakson, Johnny H.",R,GA,0.29,2019,0.1
"Carter, Buddy",R,GA-01,0.17,2019,0.03
"Bishop, Sanford D.",D,GA-02,0.93,2019,0.53
"Ferguson, A.",R,GA-03,0.07,2019,0.04
"Johnson, Hank",D,GA-04,0.97,2019,0.96
"Lewis, John R.",D,GA-05,0.9,2019,0.92
"McBath, Lucy",D,GA-06,0.97,2019,0.97
"Woodall, Rob",R,GA-07,0.1,2019,0.04
"Scott, Austin",R,GA-08,0.07,2019,0.03
"Collins, Doug",R,GA-09,0.07,2019,0.03
"Hice, Jody",R,GA-10,0.0,2019,0.0
"Loudermilk, Barry",R,GA-11,0.07,2019,0.01
"Allen, Rick",R,GA-12,0.07,2019,0.01
"Scott, David",D,GA-13,0.97,2019,0.83
"Graves, Tom",R,GA-14,0.07,2019,0.03
"San Nicolas, Michael",D,GU-AL,0.92,2019,0.92
"Hirono, Mazie K.",D,HI,1.0,2019,0.95
"Schatz, Brian Emanuel",D,HI,1.0,2019,0.97
"Case, Ed",D,HI-01,0.97,2019,0.94
"Gabbard, Tulsi",D,HI-02,0.72,2019,0.93
"Risch, Jim",R,ID,0.07,2019,0.07
"Crapo, Michael D.",R,ID,0.07,2019,0.06
"Fulcher, Russ",R,ID-01,0.03,2019,0.03
"Simpson, Mike",R,ID-02,0.21,2019,0.09
"Duckworth, Tammy",D,IL,1.0,2019,0.9
"Durbin, Dick",D,IL,1.0,2019,0.88
"Rush, Bobby L.",D,IL-01,0.97,2019,0.8
"Kelly, Robin",D,IL-02,0.97,2019,0.94
"Lipinski, Dan",D,IL-03,0.97,2019,0.91
"García, Jesús",D,IL-04,1.0,2019,1.0
"Quigley, Mike",D,IL-05,0.97,2019,0.98
"Casten, Sean",D,IL-06,0.97,2019,0.97
"Davis, Danny K.",D,IL-07,0.97,2019,0.93
"Krishnamoorthi, Raja",D,IL-08,0.97,2019,0.97
"Schakowsky, Jan",D,IL-09,0.97,2019,0.98
"Schneider, Brad",D,IL-10,0.97,2019,0.94
"Foster, Bill",D,IL-11,0.97,2019,0.94
"Bost, Mike",R,IL-12,0.1,2019,0.05
"Davis, Rodney",R,IL-13,0.17,2019,0.07
"Underwood, Lauren",D,IL-14,0.97,2019,0.97
"Shimkus, John M.",R,IL-15,0.1,2019,0.06
"Kinzinger, Adam",R,IL-16,0.14,2019,0.07
"Bustos, Cheri",D,IL-17,0.97,2019,0.89
"LaHood, Darin",R,IL-18,0.07,2019,0.01
"Young, Todd",R,IN,0.29,2019,0.05
"Braun, Mike",R,IN,0.07,2019,0.07
"Visclosky, Peter J.",D,IN-01,1.0,2019,0.83
"Walorski, Jackie",R,IN-02,0.1,2019,0.03
"Banks, Jim",R,IN-03,0.03,2019,0.01
"Baird, James",R,IN-04,0.03,2019,0.03
"Brooks, Susan W.",R,IN-05,0.24,2019,0.07
"Pence, Greg",R,IN-06,0.1,2019,0.1
"Carson, Andre",D,IN-07,0.93,2019,0.93
"Bucshon, Larry",R,IN-08,0.1,2019,0.06
"Hollingsworth, Trey",R,IN-09,0.34,2019,0.16
"Ernst, Joni",R,IA,0.14,2019,0.03
"Grassley, Chuck E.",R,IA,0.07,2019,0.18
"Finkenauer, Abby",D,IA-01,0.93,2019,0.93
"Loebsack, Dave W.",D,IA-02,0.97,2019,0.9
"Axne, Cynthia",D,IA-03,0.93,2019,0.93
"King, Steve A.",R,IA-04,0.03,2019,0.04
"Moran, Jerry",R,KS,0.14,2019,0.08
"Roberts, Pat",R,KS,0.29,2019,0.09
"Marshall, Roger",R,KS-01,0.14,2019,0.06
"Watkins, Steven",R,KS-02,0.1,2019,0.1
"Davids, Sharice",D,KS-03,0.97,2019,0.97
"Estes, Ron",R,KS-04,0.14,2019,0.05
"McConnell, Mitch",R,KY,0.14,2019,0.07
"Paul, Rand",R,KY,0.0,2019,0.08
"Comer, James",R,KY-01,0.07,2019,0.04
"Guthrie, Brett",R,KY-02,0.1,2019,0.05
"Yarmuth, John",D,KY-03,0.93,2019,0.94
"Massie, Thomas",R,KY-04,0.03,2019,0.11
"Rogers, Harold",R,KY-05,0.07,2019,0.08
"Barr, Garland",R,KY-06,0.1,2019,0.03
"Kennedy, John Neely",R,LA,0.07,2019,0.04
"Cassidy, Bill",R,LA,0.07,2019,0.07
"Scalise, Steve",R,LA-01,0.0,2019,0.03
"Richmond, Cedric L",D,LA-02,0.93,2019,0.76
"Higgins, Clay",R,LA-03,0.03,2019,0.01
"Johnson, Mike",R,LA-04,0.03,2019,0.03
"Abraham, Ralph",R,LA-05,0.0,2019,0.01
"Graves, Garret",R,LA-06,0.17,2019,0.05
"King, Angus",I,ME,0.93,2019,0.91
"Collins, Susan M.",R,ME,0.64,2019,0.61
"Pingree, Chellie M.",D,ME-01,0.97,2019,0.96
"Golden, Jared",D,ME-02,0.97,2019,0.97
"Van Hollen, Chris",D,MD,1.0,2019,0.98
"Cardin, Benjamin L.",D,MD,1.0,2019,0.92
"Harris, Andy",R,MD-01,0.0,2019,0.03
"Ruppersberger, C.A. Dutch",D,MD-02,0.97,2019,0.88
"Sarbanes, John P.",D,MD-03,0.97,2019,0.96
"Brown, Anthony",D,MD-04,0.97,2019,0.93
"Hoyer, Steny H.",D,MD-05,0.97,2019,0.82
"Trone, David",D,MD-06,0.97,2019,0.97
"Cummings, Elijah E.",D,MD-07,1.0,2019,0.92
"Raskin, Jamie",D,MD-08,1.0,2019,0.99
"Markey, Ed",D,MA,1.0,2019,0.94
"Warren, Elizabeth",D,MA,0.79,2019,0.96
"Neal, Richard E.",D,MA-01,0.97,2019,0.92
"McGovern, Jim",D,MA-02,1.0,2019,0.99
"Trahan, Lori",D,MA-03,0.97,2019,0.97
"Kennedy, Joseph P.",D,MA-04,1.0,2019,0.96
"Clark, Katherine M.",D,MA-05,0.97,2019,0.96
"Moulton, Seth",D,MA-06,0.93,2019,0.96
"Pressley, Ayanna",D,MA-07,0.97,2019,0.97
"Lynch, Stephen F.",D,MA-08,0.97,2019,0.95
"Keating, Bill",D,MA-09,0.97,2019,0.96
"Stabenow, Debbie",D,MI,1.0,2019,0.89
"Peters, Gary C.",D,MI,1.0,2019,0.93
"Bergman, Jack",R,MI-01,0.17,2019,0.1
"Huizenga, Bill",R,MI-02,0.0,2019,0.03
"Amash, Justin",R,MI-03,0.17,2019,0.18
"Moolenaar, John",R,MI-04,0.14,2019,0.06
"Kildee, Daniel T.",D,MI-05,0.97,2019,0.96
"Upton, Fred",R,MI-06,0.45,2019,0.27
"Walberg, Tim",R,MI-07,0.1,2019,0.04
"Slotkin, Elissa",D,MI-08,0.97,2019,0.97
"Levin, Andy",D,MI-09,1.0,2019,1.0
"Mitchell, Paul",R,MI-10,0.07,2019,0.04
"Stevens, Haley",D,MI-11,0.93,2019,0.93
"Dingell, Debbie",D,MI-12,0.97,2019,0.97
"Tlaib, Rashida",D,MI-13,0.97,2019,0.97
"Lawrence, Brenda",D,MI-14,0.9,2019,0.96
"Smith, Tina",D,MN,1.0,2019,1.0
"Klobuchar, Amy",D,MN,0.79,2019,0.94
"Hagedorn, Jim",R,MN-01,0.07,2019,0.07
"Craig, Angie",D,MN-02,0.97,2019,0.97
"Phillips, Dean",D,MN-03,0.97,2019,0.97
"McCollum, Betty",D,MN-04,0.97,2019,0.94
"Omar, Ilhan",D,MN-05,0.97,2019,0.97
"Emmer, Tom",R,MN-06,0.07,2019,0.02
"Peterson, Collin C.",D,MN-07,0.69,2019,0.33
"Stauber, Pete",R,MN-08,0.07,2019,0.07
"Hyde-Smith, Cindy",R,MS,0.29,2019,0.19
"Wicker, Roger F.",R,MS,0.07,2019,0.05
"Kelly, Trent",R,MS-01,0.07,2019,0.01
"Thompson, Bennie G.",D,MS-02,0.86,2019,0.82
"Guest, Michael",R,MS-03,0.1,2019,0.1
"Palazzo, Steven",R,MS-04,0.07,2019,0.03
"Hawley, Joshua",R,MO,0.07,2019,0.07
"Blunt, Roy",R,MO,0.21,2019,0.06
"Clay, William Lacy",D,MO-01,0.97,2019,0.9
"Wagner, Ann",R,MO-02,0.07,2019,0.03
"Luetkemeyer, Blaine",R,MO-03,0.07,2019,0.03
"Hartzler, Vicky",R,MO-04,0.07,2019,0.03
"Cleaver, Emanuel",D,MO-05,0.97,2019,0.89
"Graves, Sam",R,MO-06,0.03,2019,0.04
"Long, Billy",R,MO-07,0.07,2019,0.03
"Smith, Jason T.",R,MO-08,0.0,2019,0.01
"Daines, Steve",R,MT,0.29,2019,0.06
"Tester, Jon",D,MT,1.0,2019,0.88
"Gianforte, Greg",R,MT-AL,0.03,2019,0.05
"Sasse, Benjamin Eric",R,NE,0.0,2019,0.02
"Fischer, Deb",R,NE,0.07,2019,0.06
"Fortenberry, Jeff",R,NE-01,0.34,2019,0.19
"Bacon, Don",R,NE-02,0.34,2019,0.14
"Smith, Adrian M.",R,NE-03,0.03,2019,0.04
"Cortez Masto, Catherine",D,NV,1.0,2019,0.96
"Rosen, Jacky",D,NV,1.0,2019,0.96
"Titus, Dina",D,NV-01,0.96,2019,0.95
"Amodei, Mark E.",R,NV-02,0.1,2019,0.05
"Lee, Susie",D,NV-03,0.97,2019,0.97
"Horsford, Steven A.",D,NV-04,0.97,2019,0.8
"Hassan, Margaret Wood",D,NH,1.0,2019,1.0
"Shaheen, Jeanne",D,NH,1.0,2019,0.96
"Pappas, Chris",D,NH-01,0.97,2019,0.97
"Kuster, Ann M.",D,NH-02,0.97,2019,0.94
"Menendez, Robert",D,NJ,1.0,2019,0.95
"Booker, Cory Anthony",D,NJ,0.5,2019,0.91
"Norcross, Donald W.",D,NJ-01,0.97,2019,0.93
"Van Drew, Jefferson",R,NJ-02,0.93,2019,0.93
"Kim, Andy",D,NJ-03,0.97,2019,0.97
"Smith, Christopher H.",R,NJ-04,0.72,2019,0.61
"Gottheimer, Josh",D,NJ-05,0.97,2019,0.86
"Pallone, Frank J.",D,NJ-06,1.0,2019,0.96
"Malinowski, Tom",D,NJ-07,0.97,2019,0.97
"Sires, Albio",D,NJ-08,0.93,2019,0.91
"Pascrell, Bill",D,NJ-09,1.0,2019,0.94
"Payne, Donald M.",D,NJ-10,0.9,2019,0.91
"Sherrill, Mikie",D,NJ-11,0.93,2019,0.93
"Watson Coleman, Bonnie",D,NJ-12,1.0,2019,0.97
"Heinrich, Martin T.",D,NM,0.93,2019,0.94
"Udall, Tom S.",D,NM,1.0,2019,0.96
"Haaland, Debra",D,NM-01,0.97,2019,0.97
"Torres Small, Xochitl",D,NM-02,0.97,2019,0.97
"Lujan, Ben Ray",D,NM-03,0.97,2019,0.96
"Gillibrand, Kirsten E.",D,NY,0.93,2019,0.95
"Schumer, Chuck",D,NY,1.0,2019,0.92
"Zeldin, Lee",R,NY-01,0.28,2019,0.13
"King, Peter T.",R,NY-02,0.41,2019,0.18
"Suozzi, Thomas",D,NY-03,0.97,2019,0.97
"Rice, Kathleen",D,NY-04,0.93,2019,0.94
"Meeks, Gregory W.",D,NY-05,0.93,2019,0.9
"Meng, Grace",D,NY-06,1.0,2019,0.97
"Velazquez, Nydia",D,NY-07,1.0,2019,0.94
"Jeffries, Hakeem S.",D,NY-08,0.97,2019,0.95
"Clarke, Yvette D.",D,NY-09,1.0,2019,0.95
"Nadler, Jerrold L.",D,NY-10,1.0,2019,0.97
"Rose, Max",D,NY-11,0.93,2019,0.93
"Maloney, Carolyn B.",D,NY-12,1.0,2019,0.96
"Espaillat, Adriano",D,NY-13,1.0,2019,0.99
"Ocasio-Cortez, Alexandria",D,NY-14,0.97,2019,0.97
"Serrano, Jose",D,NY-15,1.0,2019,0.93
"Engel, Eliot L.",D,NY-16,1.0,2019,0.93
"Lowey, Nita M.",D,NY-17,0.93,2019,0.94
"Maloney, Sean Patrick",D,NY-18,0.97,2019,0.89
"Delgado, Antonio",D,NY-19,0.97,2019,0.97
"Tonko, Paul D.",D,NY-20,1.0,2019,0.97
"Stefanik, Elise",R,NY-21,0.55,2019,0.37
"Brindisi, Anthony",D,NY-22,0.97,2019,0.97
"Reed, Tom",R,NY-23,0.31,2019,0.1
"Katko, John",R,NY-24,0.48,2019,0.31
"Morelle, Joe",D,NY-25,0.97,2019,0.97
"Higgins, Brian M.",D,NY-26,0.97,2019,0.95
"Collins, Chris",R,NY-27,0.09,2019,0.04
"Tillis, Thom",R,NC,0.21,2019,0.09
"Burr, Richard M.",R,NC,0.29,2019,0.09
"Butterfield, G.K.",D,NC-01,0.93,2019,0.9
"Holding, George",R,NC-02,0.03,2019,0.02
"Murphy, Greg",R,NC-03,0.14,2019,0.14
"Price, David",D,NC-04,0.97,2019,0.92
"Foxx, Virginia",R,NC-05,0.1,2019,0.04
"Walker, Bradley Mark",R,NC-06,0.03,2019,0.01
"Rouzer, David",R,NC-07,0.07,2019,0.02
"Hudson, Richard",R,NC-08,0.1,2019,0.02
"Bishop, Dan",R,NC-09,0.0,2019,0.0
"McHenry, Patrick T.",R,NC-10,0.24,2019,0.05
"Meadows, Mark",R,NC-11,0.0,2019,0.01
"Adams, Alma",D,NC-12,0.96,2019,0.98
"Budd, Ted",R,NC-13,0.07,2019,0.03
"Hoeven, John",R,ND,0.14,2019,0.08
"Cramer, Kevin",R,ND,0.14,2019,0.02
"Armstrong, Kelly",R,ND-AL,0.1,2019,0.1
"Sablan, Gregorio Kilili Camacho",D,MP-AL,1.0,2019,1.0
"Portman, Rob",R,OH,0.29,2019,0.2
"Brown, Sherrod C.",D,OH,1.0,2019,0.94
"Chabot, Steve",R,OH-01,0.1,2019,0.11
"Wenstrup, Brad R.",R,OH-02,0.03,2019,0.02
"Beatty, Joyce",D,OH-03,0.96,2019,0.95
"Jordan, Jim",R,OH-04,0.0,2019,0.03
"Latta, Bob",R,OH-05,0.07,2019,0.03
"Johnson, Bill",R,OH-06,0.07,2019,0.03
"Gibbs, Bob",R,OH-07,0.07,2019,0.03
"Davidson, Warren",R,OH-08,0.07,2019,0.02
"Kaptur, Marcy",D,OH-09,1.0,2019,0.83
"Turner, Michael R.",R,OH-10,0.14,2019,0.09
"Fudge, Marcia L.",D,OH-11,0.93,2019,0.93
"Balderson, Troy",R,OH-12,0.03,2019,0.03
"Ryan, Tim",D,OH-13,0.66,2019,0.9
"Joyce, David P.",R,OH-14,0.21,2019,0.1
"Stivers, Steve",R,OH-15,0.1,2019,0.07
"Gonzalez, Anthony",R,OH-16,0.21,2019,0.21
"Inhofe, James M.",R,OK,0.0,2019,0.05
"Lankford, James",R,OK,0.0,2019,0.05
"Hern, Kevin",R,OK-01,0.03,2019,0.03
"Mullin, Markwayne",R,OK-02,0.0,2019,0.01
"Lucas, Frank D.",R,OK-03,0.07,2019,0.05
"Cole, Tom",R,OK-04,0.17,2019,0.07
"Horn, Kendra",D,OK-05,0.93,2019,0.93
"Merkley, Jeff",D,OR,1.0,2019,0.99
"Wyden, Ron",D,OR,1.0,2019,0.91
"Bonamici, Suzanne",D,OR-01,0.97,2019,0.98
"Walden, Greg P.",R,OR-02,0.21,2019,0.1
"Blumenauer, Earl",D,OR-03,0.93,2019,0.96
"DeFazio, Peter A.",D,OR-04,0.97,2019,0.92
"Schrader, Kurt",D,OR-05,0.93,2019,0.72
"Toomey, Pat",R,PA,0.0,2019,0.05
"Casey, Bob",D,PA,1.0,2019,0.93
"Fitzpatrick, Brian",R,PA-01,0.86,2019,0.8
"Boyle, Brendan",D,PA-02,0.97,2019,0.97
"Evans, Dwight",D,PA-03,0.97,2019,0.95
"Dean, Madeleine",D,PA-04,0.97,2019,0.97
"Scanlon, Mary Gay",D,PA-05,0.97,2019,0.97
"Houlahan, Chrissy",D,PA-06,0.97,2019,0.97
"Wild, Susan",D,PA-07,0.97,2019,0.97
"Cartwright, Matt A.",D,PA-08,0.96,2019,0.96
"Meuser, Daniel",R,PA-09,0.07,2019,0.07
"Perry, Scott",R,PA-10,0.03,2019,0.03
"Smucker, Lloyd",R,PA-11,0.07,2019,0.04
"Marino, Tom",R,PA-12,0.0,2019,0.05
"Keller, Fred",R,PA-12,0.04,2019,0.04
"Joyce, John",R,PA-13,0.03,2019,0.03
"Reschenthaler, Guy",R,PA-14,0.07,2019,0.07
"Thompson, Glenn W.",R,PA-15,0.07,2019,0.05
"Kelly, Mike",R,PA-16,0.07,2019,0.04
"Lamb, Conor",D,PA-17,0.9,2019,0.85
"Doyle, Mike",D,PA-18,0.97,2019,0.79
"González-Colón, Jenniffer",R,PR-AL,0.15,2019,0.15
"Whitehouse, Sheldon",D,RI,0.86,2019,0.97
"Reed, Jack",D,RI,1.0,2019,0.97
"Cicilline, David",D,RI-01,0.97,2019,0.98
"Langevin, Jim",D,RI-02,0.97,2019,0.96
"Graham, Lindsey O.",R,SC,0.29,2019,0.13
"Scott, Tim",R,SC,0.14,2019,0.04
"Cunningham, Joe",D,SC-01,0.93,2019,0.93
"Wilson, Joe",R,SC-02,0.07,2019,0.03
"Duncan, Jeff",R,SC-03,0.07,2019,0.03
"Timmons, William",R,SC-04,0.1,2019,0.1
"Norman, Ralph",R,SC-05,0.07,2019,0.02
"Clyburn, James E.",D,SC-06,0.92,2019,0.85
"Rice, Tom",R,SC-07,0.1,2019,0.02
"Rounds, Mike",R,SD,0.21,2019,0.06
"Thune, John R.",R,SD,0.14,2019,0.11
"Johnson, Dusty",R,SD-AL,0.07,2019,0.07
"Blackburn, Marsha",R,TN,0.21,2019,0.03
"Alexander, Lamar",R,TN,0.36,2019,0.21
"Roe, Phil",R,TN-01,0.1,2019,0.03
"Burchett, Tim",R,TN-02,0.1,2019,0.1
"Fleischmann, Chuck",R,TN-03,0.07,2019,0.04
"DesJarlais, Scott",R,TN-04,0.03,2019,0.02
"Cooper, Jim",D,TN-05,0.93,2019,0.83
"Rose, John",R,TN-06,0.03,2019,0.03
"Green, Mark",R,TN-07,0.0,2019,0.0
"Kustoff, David",R,TN-08,0.1,2019,0.03
"Cohen, Steve",D,TN-09,0.96,2019,0.97
"Cruz, Ted",R,TX,0.0,2019,0.04
"Cornyn, John",R,TX,0.07,2019,0.05
"Gohmert, Louie",R,TX-01,0.03,2019,0.04
"Crenshaw, Dan",R,TX-02,0.1,2019,0.1
"Taylor, Van",R,TX-03,0.07,2019,0.07
"Ratcliffe, John",R,TX-04,0.07,2019,0.01
"Gooden, Lance",R,TX-05,0.07,2019,0.07
"Wright, Ron",R,TX-06,0.07,2019,0.07
"Fletcher, Lizzie",D,TX-07,0.79,2019,0.79
"Brady, Kevin P.",R,TX-08,0.07,2019,0.03
"Green, Al",D,TX-09,0.97,2019,0.86
"McCaul, Michael T.",R,TX-10,0.21,2019,0.06
"Conaway, K. Michael",R,TX-11,0.07,2019,0.02
"Granger, Kay",R,TX-12,0.1,2019,0.05
"Thornberry, Mac",R,TX-13,0.03,2019,0.02
"Weber, Randy K.",R,TX-14,0.03,2019,0.02
"Gonzalez, Vicente",D,TX-15,0.86,2019,0.77
"Escobar, Veronica",D,TX-16,0.97,2019,0.97
"Flores, Bill",R,TX-17,0.07,2019,0.03
"Jackson Lee, Sheila",D,TX-18,0.93,2019,0.82
"Arrington, Jodey",R,TX-19,0.07,2019,0.02
"Castro, Joaquin",D,TX-20,0.93,2019,0.95
"Roy, Chip",R,TX-21,0.0,2019,0.0
"Olson, Pete",R,TX-22,0.07,2019,0.02
"Hurd, Will",R,TX-23,0.28,2019,0.1
"Marchant, Kenny E.",R,TX-24,0.03,2019,0.03
"Williams, Roger",R,TX-25,0.0,2019,0.01
"Burgess, Michael C.",R,TX-26,0.1,2019,0.03
"Cloud, Michael",R,TX-27,0.0,2019,0.0
"Cuellar, Henry",D,TX-28,0.79,2019,0.45
"Garcia, Sylvia",D,TX-29,0.9,2019,0.9
"Johnson, Eddie Bernice",D,TX-30,0.97,2019,0.86
"Carter, John R.",R,TX-31,0.03,2019,0.04
"Allred, Colin",D,TX-32,0.93,2019,0.93
"Veasey, Marc A.",D,TX-33,0.97,2019,0.89
"Vela, Filemon",D,TX-34,0.86,2019,0.75
"Doggett, Lloyd A.",D,TX-35,0.97,2019,0.97
"Babin, Brian",R,TX-36,0.07,2019,0.02
